,label,y_pred_label
6117,2,1
4794,2,1
888,1,1
4875,2,2
572,2,2
3645,1,1
4678,2,2
2664,0,1
1955,1,1
1515,1,1
6407,1,1
4443,0,1
1029,2,2
495,2,2
6350,2,2
5078,2,2
5279,2,2
1615,1,1
6833,2,1
5507,1,1
2212,0,0
509,2,1
1580,1,1
295,2,1
3790,0,0
1570,0,2
980,2,2
5199,2,2
840,0,1
5276,2,1
2563,1,1
3831,0,0
5007,1,1
5735,2,2
394,2,1
6053,2,2
176,2,2
2752,1,1
5329,2,1
5639,2,2
4324,2,2
3937,1,1
1870,1,1
6751,2,2
874,1,1
1982,1,1
5084,1,1
3267,1,1
1370,1,1
2569,1,1
462,2,2
3318,1,1
3579,1,1
144,2,2
1921,1,1
4911,1,2
4360,2,2
7051,2,1
3538,1,1
2611,1,1
2782,1,1
39,2,2
1675,1,1
5169,2,1
1334,0,1
6238,2,2
4937,1,1
6158,2,1
5669,2,2
5266,2,2
6140,2,2
4127,1,1
1282,1,1
6742,2,2
6524,2,1
152,2,1
49,2,1
4240,0,1
4135,1,1
4278,2,2
2917,1,1
1523,1,1
2929,1,1
6995,2,2
3974,1,1
2875,2,1
147,1,1
991,1,1
2165,1,1
1035,1,1
6320,2,2
1237,1,1
3490,1,1
5586,2,1
852,0,1
7308,1,2
3213,2,2
1259,1,1
5187,2,2
6023,2,1
4130,1,1
4060,1,0
5959,2,2
6942,2,2
3672,1,1
3639,0,0
1220,1,1
4908,1,1
2588,1,1
4513,2,2
4133,0,1
1281,1,1
7023,1,1
347,2,1
3411,0,2
2913,1,1
779,2,2
2460,1,1
2602,1,1
3443,1,1
7096,0,1
1091,0,2
3305,2,1
3354,1,1
1142,2,1
1840,1,1
3705,1,1
6582,2,2
5699,2,2
4132,0,0
2241,1,1
1835,1,1
3480,2,2
2070,1,1
6717,2,2
4844,2,2
1526,1,1
4285,2,2
2404,1,1
233,2,2
217,2,2
2661,1,1
311,2,2
38,2,2
2026,1,1
3960,1,1
6044,2,1
2067,1,1
3197,1,2
6294,2,2
4902,1,1
6116,2,2
3320,1,1
3828,1,1
6896,1,1
3181,1,1
1388,1,1
4113,1,1
3891,0,1
4100,1,1
5738,2,1
4898,2,2
5588,2,1
2539,1,1
2284,1,2
98,2,2
4140,0,1
3124,1,1
6539,1,1
5282,1,2
1196,1,1
6775,2,2
2724,1,1
1216,1,1
296,2,2
6392,2,2
5731,2,2
1022,2,2
2853,1,1
4358,2,2
7242,2,2
33,2,2
4763,2,2
1957,1,1
5889,2,2
1833,0,1
5526,2,1
2384,1,1
5020,1,1
1859,0,0
134,1,2
2092,1,1
3544,1,1
6211,2,2
938,1,1
3585,1,1
4109,1,1
2535,1,1
5584,2,2
3051,1,1
6956,1,1
1633,1,1
1379,1,1
1168,1,1
6674,2,1
200,2,2
6739,2,2
3641,0,1
467,1,2
6091,2,1
6693,2,2
1352,1,1
6836,2,2
3013,1,1
3021,1,1
2087,1,1
202,2,1
2500,1,1
42,2,0
6644,2,2
1916,1,1
1578,0,0
6795,2,2
3700,0,1
2407,1,0
1086,1,1
4410,2,2
50,2,2
1070,1,1
7329,1,1
5472,1,2
3380,1,2
7022,1,0
4586,2,2
1122,1,1
4034,0,2
6289,2,2
4869,1,2
613,2,2
5836,2,1
875,2,2
2777,0,1
5005,1,1
6663,2,2
4944,1,1
3373,1,1
4032,1,1
7199,1,1
3053,1,1
4713,2,2
6809,2,1
6396,1,1
1892,1,2
3474,1,1
304,1,1
454,1,2
5154,1,1
629,2,2
317,2,2
6806,2,2
2266,1,1
526,2,2
6715,2,2
1843,1,1
7118,1,1
1421,1,1
1290,1,1
3683,0,1
2572,1,1
7286,1,2
2980,1,1
2578,1,2
5555,2,2
1585,0,0
5932,2,1
4886,1,1
7157,1,1
5793,2,2
7217,1,1
4258,0,1
5097,1,2
4235,1,1
2179,1,1
4088,0,1
3619,1,0
2890,1,1
3663,0,1
521,2,2
1357,0,1
1433,1,1
6305,2,1
1917,1,1
5114,1,1
5352,1,1
